year,year-href,date,win/loss
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,1/19/14,W
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,1/15/14,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,1/14/14,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,1/10/14,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,1/8/14,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,1/7/14,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,1/5/14,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,1/3/14,W
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,12/29/13,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,12/25/13,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,12/13/13,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,12/10/13,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,12/6/13,W
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,12/1/13,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,11/29/13,W
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,11/26/13,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,11/25/13,W
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,11/22/13,W
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,11/10/13,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,11/8/13,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,11/7/13,W
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,11/3/13,W
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,11/1/13,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,10/29/13,W
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,7/11/13,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,4/28/13,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,3/28/13,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,3/1/13,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,2/3/13,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,8/26/12,W
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,8/6/12,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,6/7/12,W
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,11/29/11,W
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,7/24/11,L
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,7/17/11,W
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,7/3/11,W
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,4/4/11,W
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,3/26/11,W
2014,http://www.landofbasketball.com/results_by_team/2013_2014_lakers.htm,2/26/11,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,11/8/17,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,8/18/17,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,7/21/17,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,7/10/17,L
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,3/30/17,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,3/8/17,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,3/7/17,L
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,2/16/17,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,1/3/17,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,11/5/16,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,10/17/16,L
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,5/13/16,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,4/10/16,L
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,9/4/15,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,9/2/15,L
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,6/27/15,L
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,6/18/15,L
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,6/17/15,L
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,4/15/15,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,4/10/15,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,4/4/15,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,3/10/15,L
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,2/19/15,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,2/7/15,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,8/5/14,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,7/10/14,L
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,6/2/14,L
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,4/5/14,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,10/24/13,L
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,10/23/13,L
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,9/19/13,L
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,5/21/13,L
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,4/26/13,L
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,4/12/13,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,4/10/13,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,4/9/13,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,4/2/13,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,3/27/13,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,3/25/13,L
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,3/22/13,L
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,3/18/13,L
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,3/15/13,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,3/6/13,W
